Название;БД;"J. Shang и др.";"X. Huang, L. Lakshmanan";Кластеризация;"Graph embedding";"Комбинированный подход"
1;0.32;0.33;0.43;0.38;0.39;0.45
2;0.42;0.41;0.47;0.42;0.44;0.49
4;0.5;0.48;0.58;0.53;0.57;0.62
8;0.62;0.6;0.7;0.62;0.71;0.74
16;0.68;0.69;0.78;0.67;0.79;0.84
