Название;БД;"J. Shang и др.";"X. Huang, L. Lakshmanan";Кластеризация;"Graph embedding";"Комбинированный подход"
f0;0.23;0.34;0.62;0.47;0.56;0.65
f107;0.24;0.29;0.41;0.33;0.38;0.43
f348;0.38;0.47;0.69;0.53;0.67;0.68
f414;0.41;0.58;0.75;0.64;0.77;0.78
Cornell;0.24;0.19;0.29;0.21;0.28;0.30
